rewards,average execute time
1514.7734603769618,0.0001416680265645512
2411.5798793196805,0.00012211581098397356
2714.1586044603714,0.0001274237303561082
1654.156516257803,0.0001527425449186209
1757.2648146355878,0.00015196008760421002
1335.9548572609665,0.00022829735213941564
2304.667922387502,0.0001499586092318342
2433.8277482079316,0.0001582317130661793
2441.9871497651934,0.00014786300111989506
1914.4796638750931,0.00013832658366427395
4314.6014818596595,0.00010827346577670404
1610.222987871206,0.00013000412665241316
2287.15345841837,0.00012325067187691908
1813.4328408877195,0.0001310207056656979
2637.7715696842874,0.00011258718499726655
1984.515113533228,0.00010076425766032901
2702.216518086906,0.00010289106153904047
2467.938218637805,0.00011322486913945687
2022.7381851565694,0.0001158918001353537
2622.3244017667926,0.00012259046888090874
