rewards,average execute time
863.7104787265458,9.357597170433958e-06
1032.9975637887692,6.262306383393269e-06
1052.1959198026411,2.795275207349517e-06
923.0881455263693,9.745608465253145e-06
947.3872219654805,8.420027730192646e-06
881.0876285155202,7.614119803340986e-06
1099.5610026730046,5.597025571095246e-06
1071.1424513030324,8.356936462742373e-06
1055.9497295887172,7.645831466717307e-06
1069.559942177431,6.212497488037789e-06
1131.467148790512,1.246135546968508e-05
1101.59624462203,6.873461529405004e-06
1016.0794470693335,6.263302561300378e-06
929.4219189714075,9.767026290256001e-06
1081.7459844987495,7.624413641714452e-06
1070.5202204936836,6.922108217202189e-06
1080.9893013004976,2.7816607759523523e-06
1059.421708374665,8.297663877269351e-06
1047.3573563612217,7.002798627678066e-06
1171.824690221679,6.944190160809785e-06
