average execute time,rewards
9.720704017575404e-06,1209.4185632113179
6.9558122363927305e-06,1195.0840816762284
1.1136106793926951e-05,1136.0119129890093
5.585569525163486e-06,1136.858263675415
4.864668779718511e-06,1138.2431479253378
1.2503194941783682e-05,1147.2413877400058
8.358928818556591e-06,1121.4162477948905
7.647325733577973e-06,1156.2227936211261
9.80239060595839e-06,1118.2484520358107
7.718054364982754e-06,1123.1722291077306
1.3238540266881747e-05,1139.6463650785768
9.03616376573993e-06,1131.467148790512
2.5073133803343705e-05,1199.1083394182406
9.066381162255588e-06,1200.3571813049116
3.474004421393519e-06,1194.5952581611043
7.641680725437685e-06,1182.4641848689516
5.573781419929356e-06,1205.3118949881084
1.0438782258950237e-05,1181.565756269254
1.1805870406806968e-05,1168.4180607205924
6.210505132223571e-06,1209.0718330608859
