rewards,average execute time
1498.15014359141,0.00020410958028072428
2417.868861918062,0.00017119633611486349
2831.967138943712,0.00014516304462400983
1677.5163475360466,0.0001849689855548997
1741.9596122366402,0.00015859327695624277
1283.3477610680225,0.0001752916528788178
2532.4869546922,0.00016393352683872234
2465.004670156552,0.00013413861238167262
2589.725383186106,0.0001773975353719132
2029.7246982501867,0.0001396725533563888
4300.113091735149,9.589826603799747e-05
1649.2142472696898,0.00016822091052127083
2294.2094211940375,0.00016730587656905012
1738.7795824377772,0.00018515902529194796
2666.507198489062,0.0001817470643578506
2021.5268888102653,0.00011813665551067812
2696.860448522817,0.00012364842433451278
2412.8048119994596,0.00011989997289971057
2131.7599180433144,0.00013187768399549395
2686.7500610636125,0.00012864867153898764
