average execute time,rewards
2.7884679916509348e-06,1118.5024417132533
8.341495705182174e-06,1106.3392340629523
1.877330471878264e-05,1083.9167946402565
4.19407501858257e-06,1120.2682221337054
1.1136272823578136e-05,1142.9572792570036
7.653136771369445e-06,1145.2139103246805
1.8054230299500702e-05,1139.333719282049
8.317753465062728e-06,1117.7502521614558
1.4617250490321423e-05,1143.1977467787792
1.4592013983341313e-05,1101.59624462203
1.0454555075812805e-05,1127.1747258241614
2.1044258287690142e-06,1146.3746694392219
1.0394950431037414e-05,1153.0118842873756
1.3224593776182212e-05,1112.9477812910986
1.9496529879344206e-05,1116.4968515667122
1.1159683004395211e-05,1082.431620961759
9.003455924456498e-06,1091.3164746393772
1.1144242246835012e-05,1122.6106050243009
6.954317969532066e-06,1078.1076151274792
6.951329435810738e-06,1109.3462888600534
