average execute time,rewards
1.1098584092759156e-05,1173.181612420585
9.050442315741833e-06,1197.8794121987362
8.962944689567375e-06,1101.2202123866366
1.3505017857033562e-05,1084.7369898430245
9.063558658185443e-06,1104.5767271386628
8.729008911047805e-06,1102.8076041262282
8.338175112158474e-06,1118.0931373034207
1.2493897281317325e-05,1136.0844585796515
9.677702337918508e-06,1117.2204183108454
1.0401259557782442e-05,1134.943152226357
9.752415680951727e-06,1145.2369590011529
6.251846515368618e-06,1138.1109044881368
9.679030575127987e-06,1172.731778689721
1.2625558794706977e-05,1165.8238609233506
1.1858335776581406e-05,1169.2192273055266
1.4681171906027621e-05,1107.8700733086655
1.3212971700599266e-05,1151.3373639342276
1.0548527858383476e-05,1171.824690221679
5.57361539027817e-06,1150.9677189649015
9.742785961183e-06,1130.8193326928995
