rewards,average execute time
944.9435927814283,1.4613597837995353e-05
1041.3048537420218,1.3205500366295945e-05
1078.3120340282055,1.1813673800412658e-05
979.1946977237578,1.0425333857204256e-05
1001.3107654791253,1.1843559137625946e-05
930.7285548746565,1.0412051485109463e-05
1074.361620471189,1.1107383664271958e-05
1061.973499886612,4.901361332630381e-06
1050.6567006828366,7.65463103823011e-06
1082.2382056125157,1.4609281067064546e-05
1106.343116075813,8.322070235993537e-06
1109.331168333583,6.9290814625519565e-06
1033.027127352312,1.597952377829379e-05
996.657323413583,8.309784041805852e-06
1089.8536961476625,1.522309268749524e-05
1099.4992776866056,6.943526042205045e-06
1074.7785634157653,1.3276893116305466e-05
1029.7960011299324,7.599841253339082e-06
1069.7440746505354,1.0406074417666804e-05
1144.138264665962,1.3845544671613857e-05
