rewards,average execute time
1639.0745535892763,0.0001817874895418928
2434.601424984777,0.0001233151701630139
2884.3806980583513,0.00010889133469003145
1818.8927319372938,0.00014099071586066907
1994.7915263261123,0.00012744899001418118
1357.9050911257443,0.00016283760956727742
2469.8050441950436,0.00011718175450309378
2523.842924293915,0.00010757094283504839
2592.6303666677813,0.00011377015182276091
2008.5801764977186,0.0001261999698284545
4370.711873126606,8.787385752943695e-05
1825.3849456563585,0.00010700727421077874
2338.711061852576,0.00011310942186032488
1880.724352732689,0.00013753639372423424
2756.955286138979,0.00011201455293457365
2103.9674715608844,0.00012407993358341072
2775.8036439198777,0.00017374900520824996
2473.5685733652167,0.00017454635583612907
2247.4150870154967,0.0001329632548542766
2773.8632082713148,0.00012797361514607414
